A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
0.123,0.112,0.22,0.129,0.108,0.105,0.116,0.102,0.254,0.641,0.415,1.12,0.147,0.185,0.13,0.118
0.123,0.113,0.221,0.135,0.108,0.106,0.117,0.101,0.255,0.641,0.418,1.132,0.148,0.186,0.13,0.119
0.123,0.113,0.222,0.138,0.108,0.106,0.117,0.102,0.256,0.642,0.421,1.145,0.148,0.186,0.131,0.119
0.124,0.113,0.224,0.136,0.109,0.106,0.117,0.102,0.257,0.643,0.424,1.156,0.149,0.187,0.131,0.12
0.124,0.114,0.226,0.134,0.109,0.106,0.118,0.102,0.258,0.645,0.428,1.168,0.149,0.19,0.132,0.12
0.125,0.114,0.226,0.135,0.11,0.106,0.118,0.103,0.258,0.646,0.431,1.18,0.15,0.189,0.132,0.12
0.125,0.114,0.228,0.138,0.11,0.107,0.119,0.102,0.26,0.646,0.434,1.191,0.15,0.19,0.132,0.121
0.125,0.115,0.229,0.137,0.11,0.107,0.119,0.103,0.26,0.647,0.437,1.203,0.151,0.191,0.133,0.121
0.125,0.115,0.231,0.147,0.11,0.107,0.12,0.103,0.261,0.649,0.44,1.216,0.151,0.192,0.133,0.121
0.126,0.115,0.232,0.141,0.11,0.107,0.12,0.104,0.262,0.65,0.443,1.227,0.152,0.193,0.133,0.122
0.126,0.116,0.233,0.141,0.111,0.108,0.121,0.104,0.263,0.651,0.446,1.238,0.153,0.194,0.134,0.122
0.127,0.116,0.235,0.147,0.111,0.108,0.121,0.104,0.264,0.652,0.449,1.25,0.153,0.196,0.134,0.122
0.127,0.117,0.236,0.15,0.111,0.108,0.121,0.104,0.265,0.652,0.452,1.26,0.154,0.195,0.134,0.123
0.127,0.117,0.237,0.151,0.112,0.108,0.122,0.105,0.265,0.653,0.455,1.272,0.154,0.197,0.135,0.123
